# .test .cputime .temperature .time_mat1 .time_mat2
1 0.001083  0.000 0.000021 0.000003
2 0.001988  0.000 0.000004 0.000004
3 0.003305  0.000 0.000025 0.000003
4 0.004389  0.000 0.000005 0.000004
5 0.005350  0.000 0.000020 0.000005
6 0.006379  0.000 0.000016 0.000005
7 0.007512  0.000 0.000022 0.000005
8 0.008483 -0.974 0.000018 0.000005
9 0.009472 -0.974 0.000022 0.000006
10 0.010549  0.000 0.000019 0.000007
11 0.011644  0.000 0.000024 0.000008
12 0.012605 -1.461 0.000020 0.000009
13 0.013515 -1.461 0.000027 0.000010
14 0.014398 -0.487 0.000022 0.000011
15 0.015426 -0.487 0.000029 0.000012
16 0.016561  0.000 0.000026 0.000013
17 0.017726  0.000 0.000025 0.000015
18 0.018861 -0.487 0.000032 0.000016
19 0.019806 -0.487 0.000029 0.000017
20 0.020839 -0.974 0.000035 0.000019
21 0.021866  0.000 0.000033 0.000021
22 0.022821 -0.487 0.000038 0.000022
23 0.023636  0.000 0.000035 0.000023
24 0.025171  0.974 0.000042 0.000026
25 0.025904 -0.487 0.000038 0.000027
26 0.026953  0.000 0.000045 0.000029
27 0.027856  0.000 0.000043 0.000031
28 0.028803  0.000 0.000049 0.000034
29 0.029737 -0.487 0.000035 0.000036
30 0.030627  0.000 0.000060 0.000039
31 0.031509  0.000 0.000087 0.000042
32 0.033505  0.000 0.000065 0.000044
33 0.034431  0.487 0.000038 0.000046
34 0.035382  0.000 0.000062 0.000048
35 0.036508  0.487 0.000043 0.000051
36 0.037273  1.461 0.000066 0.000055
37 0.038252  0.487 0.000048 0.000056
38 0.038967  0.487 0.000072 0.000060
39 0.040197  0.974 0.000053 0.000063
40 0.041870  0.974 0.000079 0.000067
41 0.043030  0.974 0.000057 0.000070
42 0.043636  0.487 0.000081 0.000074
43 0.044937  0.974 0.000062 0.000076
44 0.045826  0.487 0.000085 0.000081
45 0.046942  0.974 0.000067 0.000084
46 0.047838  0.487 0.000092 0.000089
47 0.048883  0.974 0.000073 0.000092
48 0.049572  0.974 0.000097 0.000095
49 0.050342  0.000 0.000079 0.000098
50 0.051178  0.974 0.000104 0.000105
51 0.053264  0.487 0.000085 0.000107
52 0.054387  0.487 0.000110 0.000110
53 0.055119  0.487 0.000092 0.000114
54 0.056503  1.461 0.000118 0.000119
55 0.056897  1.461 0.000098 0.000124
56 0.057955  1.948 0.000117 0.000127
57 0.058847  1.461 0.000118 0.000132
58 0.059547  0.974 0.000126 0.000136
59 0.060741  1.948 0.000126 0.000141
60 0.061805  0.974 0.000134 0.000145
61 0.062708  1.461 0.000133 0.000148
62 0.063069  1.461 0.000142 0.000153
63 0.064715  1.948 0.000140 0.000158
64 0.065601  2.435 0.000196 0.000161
65 0.066101  0.974 0.000148 0.000166
66 0.067454  1.461 0.000158 0.000170
67 0.068437  1.948 0.000158 0.000176
68 0.069274  1.948 0.000167 0.000180
69 0.070707  1.461 0.000168 0.000188
70 0.071350  1.461 0.000172 0.000192
71 0.072463  2.435 0.000180 0.000194
72 0.073343  1.461 0.000180 0.000242
73 0.074241  1.461 0.000189 0.000205
74 0.075292  1.461 0.000195 0.000213
75 0.076142  1.948 0.000200 0.000216
76 0.076837  1.461 0.000205 0.000223
77 0.077695  1.948 0.000208 0.000228
78 0.078734  0.487 0.000211 0.000233
79 0.079763  1.948 0.000222 0.000239
80 0.081034  1.461 0.000231 0.000246
81 0.082088  1.461 0.000234 0.000251
82 0.082697  1.461 0.000220 0.000259
83 0.083625  1.461 0.000249 0.000265
84 0.084132  1.948 0.000274 0.000273
85 0.085475  2.922 0.000260 0.000277
86 0.086264  2.435 0.000246 0.000285
87 0.087269  1.948 0.000275 0.000292
88 0.088725  1.948 0.000248 0.000298
89 0.089438  1.948 0.000294 0.000305
90 0.090484  2.435 0.000278 0.000313
91 0.091766  2.435 0.000316 0.000320
92 0.092293  1.948 0.000279 0.000327
93 0.093673  2.435 0.000330 0.000334
94 0.094416  2.922 0.000296 0.000385
95 0.095464  2.435 0.000385 0.000347
96 0.097048  1.948 0.000300 0.000355
97 0.097907  2.435 0.000353 0.000360
98 0.098592  2.435 0.000331 0.000369
99 0.099589  1.948 0.000366 0.000376
100 0.100137  3.409 0.000326 0.000385
101 0.100735  2.922 0.000440 0.000393
102 0.102934  1.948 0.000398 0.000400
103 0.103687  1.948 0.000397 0.000407
104 0.105051  2.435 0.000358 0.000416
105 0.105822  2.435 0.000402 0.000424
106 0.106518  1.948 0.000370 0.000436
107 0.108393  2.435 0.000413 0.000438
108 0.108758  2.922 0.000417 0.000451
109 0.109288  1.948 0.000412 0.000454
110 0.110674  2.922 0.000419 0.000463
111 0.110754  2.435 0.000434 0.000470
112 0.112426  2.922 0.000469 0.000479
113 0.113355  2.922 0.000444 0.000486
114 0.114999  2.435 0.000441 0.000502
115 0.115796  2.922 0.000463 0.000542
116 0.116731  2.922 0.000463 0.000512
117 0.118150  1.461 0.000490 0.000520
118 0.119292  2.435 0.000472 0.000529
119 0.119945  4.383 0.000491 0.000537
120 0.120683  3.409 0.000498 0.000546
121 0.121948  4.383 0.000538 0.000556
122 0.122920  2.435 0.000565 0.000574
123 0.124220  2.922 0.000516 0.000575
124 0.124692  2.922 0.000516 0.000634
125 0.125898  2.922 0.000525 0.000593
126 0.127174  3.409 0.000534 0.000646
127 0.127297  2.922 0.000593 0.000611
128 0.129733  3.409 0.000545 0.000656
129 0.130049  3.409 0.000553 0.000632
130 0.130427  2.435 0.000560 0.000642
131 0.132577  3.409 0.000568 0.000651
132 0.133430  1.948 0.000572 0.000699
133 0.134171  3.409 0.000561 0.000673
134 0.135310  3.896 0.000644 0.000684
135 0.136667  2.922 0.000578 0.000696
136 0.137133  3.409 0.000613 0.000705
137 0.138036  4.383 0.000623 0.000715
138 0.139488  3.409 0.000628 0.000725
139 0.141099  3.409 0.000654 0.000737
140 0.141417  3.409 0.000643 0.000781
141 0.142155  2.922 0.000623 0.000757
142 0.143921  3.896 0.000672 0.000769
143 0.144065  3.896 0.000638 0.000779
144 0.145030  3.409 0.000677 0.000799
145 0.146004  3.896 0.000661 0.000810
146 0.147006  4.383 0.000692 0.000816
147 0.148093  3.896 0.000670 0.000860
148 0.148668  4.383 0.000710 0.000837
149 0.150114  2.922 0.000685 0.000864
150 0.151651  3.896 0.000724 0.000859
151 0.151794  2.922 0.000756 0.000873
152 0.153340  3.896 0.000740 0.000943
153 0.155289  4.383 0.000723 0.000906
154 0.154690  3.896 0.000760 0.000908
155 0.157037  3.409 0.000796 0.000923
156 0.157419  3.409 0.000779 0.000975
157 0.158102  3.896 0.000759 0.000985
158 0.159188  3.409 0.000802 0.000957
159 0.160258  4.870 0.000779 0.001038
160 0.161474  4.383 0.000811 0.000979
161 0.162676  4.383 0.000815 0.001038
162 0.162990  4.870 0.000899 0.001006
163 0.164252  3.896 0.000835 0.001039
164 0.165197  2.922 0.000852 0.001047
165 0.166496  2.922 0.000853 0.001064
166 0.167561  4.383 0.000914 0.001055
167 0.169032  3.409 0.000871 0.001112
168 0.168507  3.896 0.000893 0.001079
169 0.170133  3.896 0.000897 0.001094
170 0.171942  3.409 0.000913 0.001105
171 0.171911  3.896 0.000917 0.001165
172 0.173181  4.870 0.000928 0.001165
173 0.173795  3.896 0.000942 0.001184
174 0.176538  3.896 0.000947 0.001160
175 0.175701  3.409 0.000963 0.001226
176 0.176436  3.896 0.000968 0.001211
177 0.179065  3.409 0.001051 0.001206
178 0.178139  4.383 0.001035 0.001244
179 0.181509  4.870 0.001053 0.001247
180 0.181454  4.870 0.001064 0.001252
181 0.181161  4.383 0.001085 0.001265
182 0.182715  3.896 0.001037 0.001277
183 0.184416  4.870 0.001102 0.001293
184 0.184377  4.870 0.001042 0.001363
185 0.187378  4.383 0.001084 0.001326
186 0.187053  3.896 0.001066 0.001394
187 0.188637  4.870 0.001105 0.001358
188 0.191369  5.357 0.001138 0.001370
189 0.189711  4.870 0.001162 0.001388
